ID,Title,Year,Conference,Did the paper successfully participate in an artifact evaluation process?,Requirements per platform [Intel],Requirements per platform [AMD],Requirements per platform [ARM],Requirements per platform [Apple],Requirements per platform [NVIDIA],Other requirement?,Environment,"""""Novelty""""",Do they mention their attack potency?,Number of platform evaluated,What benchmark do they provide?,How is it assessed?,Error rate,Comparison to other works,How does it compare to other work?,Is there any obvious threat to the comparison reliability?,Number of configuration evaluated,Is there a protocol (agreement/transmission)? ,"If so, what is it?",Is there an error correction/management described?,"If so, what is used?",Is the code available?,"Is there a minimal documentation (compilation, installation, usage)?",Is there another covert channel evaluation ?,How is it assessed?_duplicated_0,Error rate_duplicated_0,Comparison to other works_duplicated_0,How does it compare to other work?_duplicated_0,Is there any obvious threat to the comparison reliability?_duplicated_0,Number of configuration evaluated_duplicated_0,Is there a protocol (agreement/transmission)? _duplicated_0,"If so, what is it?_duplicated_0",Is there an error correction/management described?_duplicated_0,"If so, what is used?_duplicated_0",Is the code available?_duplicated_0,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_0",Is there another covert channel evaluation ?_duplicated_0,How is it assessed?_duplicated_1,Error rate_duplicated_1,Comparison to other works_duplicated_1,How does it compare to other work?_duplicated_1,Is there any obvious threat to the comparison reliability?_duplicated_1,Number of configuration evaluated_duplicated_1,Is there a protocol (agreement/transmission)? _duplicated_1,"If so, what is it?_duplicated_1",Is there an error correction/management described?_duplicated_1,"If so, what is used?_duplicated_1",Is the code available?_duplicated_1,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_1",What are they attacking?,Is the target version specified?,Are there details on the attack?,How many samples are needed?,Number of platform evaluated_duplicated_0,Comparison to other works_duplicated_2,How does it compare to other work?_duplicated_2,Is the code available?_duplicated_2,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_2",Is there another side channel evaluation ?,What are they attacking?_duplicated_0,Is the target version specified?_duplicated_0,Are there details on the attack?_duplicated_0,How many samples are needed?_duplicated_0,Number of platform evaluated_duplicated_1,Comparison to other works_duplicated_3,How does it compare to other work?_duplicated_3,Is the code available?_duplicated_3,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_3",Is there another side channel evaluation ?_duplicated_0,What are they attacking?_duplicated_1,Is the target version specified?_duplicated_1,Are there details on the attack?_duplicated_1,How many samples are needed?_duplicated_1,Number of platform evaluated_duplicated_2,Comparison to other works_duplicated_4,How does it compare to other work?_duplicated_4,Is the code available?_duplicated_4,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_4",Is there another side channel evaluation ?_duplicated_1,What are they attacking?_duplicated_2,Is the target version specified?_duplicated_2,Are there details on the attack?_duplicated_2,How many samples are needed?_duplicated_2,Number of platform evaluated_duplicated_3,Comparison to other works_duplicated_5,How does it compare to other work?_duplicated_5,Is the code available?_duplicated_5,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_5",Is there another side channel evaluation ?_duplicated_2,What are they attacking?_duplicated_3,Is the target version specified?_duplicated_3,Are there details on the attack?_duplicated_3,How many samples are needed?_duplicated_3,Number of platform evaluated_duplicated_4,Comparison to other works_duplicated_6,How does it compare to other work?_duplicated_6,Is the code available?_duplicated_6,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_6"
kimDevIOusDeviceDrivenSideChannel2023,DevIOus: Device-Driven Side-Channel Attacks on the IOMMU,2023,S&P,No evaluation for this conference this year,Same CPU;Other,,,,Other,"CPU with IOMMU and a PCIe DMA-capable device (GPU, RDMA-enabled NICs)",Local;Remote;VM,Improved a building block,Spatial resolution;Temporal resolution,2,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate,,0,,,2,Yes,"Agreement: The sender and the receiver synchronize with the pre-determined time window.

Transmission: The sender and the receiver must determine an IOTLB set, S, which they use for the channel. Also, they agree that the sender posts 1 bit every fixed time window. In this test, the sender post ‘1’ by priming whole entries in S using the GPU, wiping out any last changes. Otherwise, the sender post ‘0’ by staying inactive during the time window. During the next window, the receiver retrieves the posted 1 bit by probing any changes in S. A longer-than-expected probing latency indicates ‘1’; otherwise, ‘0’.",,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,(Inter)keystroke recovery,,"They tried to obtain the interavrival time of the received packets using the probing technique on the SSH protocol. The SSH client is automated to send 1,000 words of a dictionary to the SSH server. ",,1,0,,No,No,Yes,Fingerprinting,,"The core goal of the attack is to infer whether a specific key-value item has been accessed by a victim client, using IOTLB side channels (with or without shared memory).",,1,0,,No,No,Yes,Fingerprinting,Chrome v103.0.5060.114,"Here, the attack focus on website fingerprinting.",,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,
cui2022abusing,Abusing Cache Line Dirty States to Leak Information in Commercial Processors,2022,HPCA,Yes,Same core,,,,,"SMT, cache with write-back policy",Local,New primitive,Spatial resolution;Temporal resolution,1,Covert channel,Speed;Error rate;Noise resilience;Stealth;Stability,3.5,3,Compare to the numbers in previous papers,"They compare only to some specific properties (stability, stealthiness) where they are better, but seem to ignore other aspects where they may not be as good. They compare to ""old"" (initial) version of attacks (e.g. Prime+Probe from 2006) to compare performance.",10,Yes,"Some information are pre-shared between sender and receiver: synchronisation delay and targeted set. There is no information on how they are supposed to agree on these.
Then it is a simple access/wait loop.",No,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chowdhuryyMetaLeakUncoveringSide2024,MetaLeak: Uncovering Side Channels in Secure Processor Architectures Exploiting Metadata,2024,ISCA,"Evaluation was available, but the paper didn't do/get it",Same CPU,,,,,TEE_SGX,Local;SGX,New primitive,Spatial resolution;Temporal resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Error rate;Multiple plateforms,0.7,0,,,2,Yes,"In this attack, a trojan uses two tree nodes (i.e., two metadata blocks) mapped to two different cache sets for covert communication: one set to transmit bit information (i.e., access for bit ‘1’, no access for bit ‘0’), and the other set to define a bit boundary. The spy monitors activity in these two sets using mEvict+mReload. Between each access in the boundary set by trojan, if trojan’s access is detected in the transmission set (i.e., shorter latency in mReload), bit ‘1’ is decoded (‘0’ otherwise).",No,,No,No,Yes,Error rate,0.3,0,,,1,No,,No,,No,No,No,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,Libjpeg v???,They did a CF attack to reconstruct an image from the libjpeg program. They can recover the reconstructed images with an accuracy of at least 94.3%.,,1,0,,No,No,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,Libgcrypt v1.5.2,"The attacker first achieves integrity tree sharing with victim pages containing the square and multiplication functions. Once integrity tree node sharing is established, the attacker launches mEvict+mReload to monitor the functions and utilizes the access pattern to deduce the secret exponent. They achieved at least 91.2% overall accuracy in recovering the sercret exponent from an SGX enclave.",,2,0,,No,No,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,MbedTLS v3.4.0,They observed 90.7% accuracy in detecting Shift and Sub accesses.,,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,
deng2022leaky,Leaky Frontends: Security Vulnerabilities in Processor Frontends,2022,HPCA,"Evaluation was available, but the paper didn't do/get it",Same CPU;Same core,,,,,"TEE_Precision: They present various attacks, some require same core, other require same CPU + SGX",Local;SGX,New primitive,Spatial resolution,4,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Multiple plateforms;Stealth,0.0,0,,,10,No,,"No correction, but they explain how they evaluate the error rate: ""To evaluate the error rates of the channel, the Wagner-Fischer algorithm [18] is used to calculate the edit distance between the sent string and the received string.""",,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Fingerprinting,,"They fingerprint the microcode update of the processor. In particular, they can learn if a patch disabling the LSD is applied on the system or not. Since the same patch protect against other vulnerabilities,  this is valuable information to an attacker.","Specific microcode patch are mentionned: ""we evaluated our Intel Xeon Gold 6226 test machine under older 3.20180312.0ubuntu18.04.1 (patch1) and newer 3.20210608.0ubuntu0.18.04.1 (patch2) Intel microcode patches""",1,0,,No,,Yes,Fingerprinting,Mobile application from Geekbench5 benchmark suite and machine learning algorithms from the TVM framework ,They fingerprint which application is run ning based on its effect on the frontend.,,1,2,"Unclear;They do not compare to number, just say that their attack doesn't rely on HPC, is less prone to noise in the cache",No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guoUncoreEncoreCovert2023,Uncore Encore: Covert Channels Exploiting Uncore Frequency Scaling,2023,MICRO,"Evaluation was available, but the paper didn't do/get it",Same CPU;Other,,,,,Uncore Frequency Scaling (UFS) must be supported by the processor.,Local;VM,New primitive,Spatial resolution;Temporal resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Capacity (bandwith considering the error rate),0.0,10,"Compare prerequisites, defenses and reliability",Compare to previous paper on different conditions,2,Yes,"Agreement: 
The sender and the receiver agree on pre-defined channel protocols: the synchronization protocol.

Transmission:
The sender manipulates the uncore frequency (e.g., by controlling the density of LLC accesses) and encodes the data into the uncore frequency variation within each transmission interval. For example, the sender increases the uncore frequency in the interval to send a bit “1”, and decreases it to send a bit “0”. The receiver then obtains the data by observing the uncore frequency variation within a transmission interval.",Yes,The noise can be avoided by using a traffic loop to control the uncore frequency. ,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,Other_File size profiling,,The attacker is able to distinguish the file sizes at a granularity of 300KB with an accuracy of over 99%.,,1,0,,No,No,Yes,Fingerprinting,,"In the training phase, the attacker collects uncore frequency traces for 100 websites while accessing them. The attacker then uses these traces to train an RNN classifier. During the attack phase, when the victim is accessing a website, the attacker collects the uncore frequency trace and feeds it to the RNN classifier. In both phases, the attacker records the uncore frequency every 3 ms. The top-1 accuracy of their attack is 82.18%. The top-5 accuracy is 91.48%.",,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xuExploitationSecurityVulnerability2024,Exploitation of Security Vulnerability on Retirement,2024,HPCA,"Evaluation was available, but the paper didn't do/get it",Same core,,,,,,Local,New primitive,None,2,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Multiple plateforms,1.1,10,Compare to the numbers in previous papers,Compare to previous paper on different conditions;Compare to attack with different threat model with no mention,10,Yes,"Synchronization: obtained through the timestamp counter, with communication slot of a pre-decided length of time
Protocol: 
- sender sends 3 bits at once by choosing between 8 different instruction loops, which induce a different performance increase in the sibling thread.
- receiver repeatedly execute a nop loop and measure its average execution time",No,,No,,Yes,Speed;Error rate,4.08,0,,,1,Yes,"Synchronization: obtained through the timestamp counter, with communication slot of a pre-defined length
Protocol:
- sender repeatedly execute a mov loop accessing data in the cache to send a 0, in the memory to send a 1
- receiver repeatedly times a nop loop: a performance increase indicate that the other thread is stalling (eg because of a cache miss) and so that a 1 is being sent ",No,,No,,No,,,,,,,,,,,,,Fingerprinting,SPEC CPU2017,"A nop loop is executed repeatedly and its average execution time over 2000 executions is measured to deduce the sibling's thread retirement stage usage. Such traces are collected for 10 benchmarks of the SPEC CPU2017 suite.

70% traces are allocated to train a CNN (details on the architecture are given), and the remaining traces are used to evaluate its accuracy","6313 traces, 70% used for training",1,0,,No,,Yes,Fingerprinting,,"A nop loop is executed repeatedly and its average execution time over 200 000 executions is measured to deduce the sibling's thread retirement stage usage. Such traces are collected while Firefox is used to to access a set of 5 websites

As before, 70% traces are allocated to train a CNN (details on the architecture are given), and the remaining traces are used to evaluate its accuracy","894 traces, 70% used for training",1,0,,No,,Yes,Toy example / Microbenchmark,,"This toy example reproduce a variant of Spectre v1, where the secret is encoded as differing usage of the retirement stage instead of the cache",Attack reproduced 5 times per result,1,3,Compare to the numbers in previous papers,No,No,No,,,,,,,,,,,,,,,,,,,
wang2024gpuzip,GPU.zip: On the Side-Channel Implications of Hardware-Based Graphical Data Compression,2024,S&P,No evaluation for this conference this year,Other,Other,Other,Other,Other,iGPU_iGPU,Browser-based,New primitive,Spatial resolution,9,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Pixel stealing,Chrome 112,"Pixel stealing attack from a cross origin frame. They give results for both a ""lab setup"", where they assess their attack on a chosen payload that is designed to be ""easy"" to recover, and in a real world setting where they recover the username on a wikipedia page, while other tabs (incluing youtube video) are running. They give throughput (pixel/s) and accuracy on 9 different platforms.",,9,2,Compare to the numbers in previous papers,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lippAMDPrefetchAttacks2022,AMD Prefetch Attacks through Power and Time,2022,USENIX Security Symposium,"Evaluation was available, but the paper didn't do/get it",,Same CPU,,,,,Local;VM,New primitive,Spatial resolution;Temporal resolution,7,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate,0.0,0,,,1,Yes,"Transmission :
To transmit a 1-bit,  the unprivileged sender accesses an inaccessible kernel address (previously fixed on by both, the sender and receiver)  using the prefetch instruction. While the actual data is not  loaded to the cache, the translation of the address is cached  in the TLB. To transmit a 0-bit, the sender idles.",No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,(K)ASLR break,Ubuntu 20.04 with kernel  5.9.0-rc6 and the latest version (version 5) of the FGKASLR patch,"They did a standard ASLR and then a FGKASLR. To reduce measurement noise, they repeated the necessary steps for each address 1500 times.
",1500 repetitions,1,0,,Yes,Yes,Yes,Other_Spying on Kernel Activity,Ubuntu 20.04 LTS with Linux kernel 5.9,They utilized TLB-Evict+Prefetch to monitor kernel activity by detecting active audio transmissions via Bluetooth.,,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miaoVeiledPathwaysInvestigating2024,Veiled Pathways: Investigating Covert and Side Channels Within GPU Uncore,2024,MICRO,"Evaluation was available, but the paper didn't do/get it",,,,,Other,GPU_GPU with uncore,Local,New primitive,Spatial resolution;Temporal resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed,,0,,,1,No,,No,,No,No,Yes,Speed,,0,,,3,Unclear,,No,,No,No,Yes,Speed;Error rate,0.033,0,,,3,Yes,"Transmission: To transmit ’1’, sender copies a fixed block (S bytes) of data from host to device. To transmit ’0’, sender executes K nop operations.",No,,No,No,Fingerprinting,,"They use Google Chrome as their browser and the experiments are performed with Windows 11. They gather 600 traces from 40 popular videocontaining websites, and train with ATT-BLSTM (Attentionbased Bidirectional Long Short-Term Memory). 
The classification accuracy is 89.17% with hyperparameters shown in a table.

Then they combined this attack with the one from another paper.They gather traces from the same 40 websites.They visit each website for 15 times and gather a 60-second-trace for each visit. They apply the RandomForest model to the 600 traces of memory allocation size and get 93.0% classification accuracy. Their metalearner improves the accuracy to 98.3%.",1200 traces,1,10,Compare to the numbers in previous papers,No,No,Yes,Fingerprinting,,"They show how an attacker can learn secrets such as “model type” and “epoch time” of the training models in victim’s process. Then, they choose 12 LLM models and run each inference model for 60 times and gather 720 traces in total.
Afterward, they feed these traces into an ATT-BLSTM model, with hyperparameters being the same as those in the previous attack. With that, they achieve a classification accuracy of 93.75%. Thus, by gathering the PCI-e traffic trace, the attacker can guess which model the victim is using with high precision.",720 traces,10,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wangNVLeakOffChipSideChannel2023,NVLeak: Off-Chip Side-Channel Attacks via Non-Volatile Memory Systems,2023,USENIX Security Symposium,Yes,Same CPU,,,,,,Local;VM,New primitive,Spatial resolution;Temporal resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate,3.5,0,,,1,Yes,"Synchronizing: They implement a timing-based synchronization, where the sender and receiver use the same predefined time interval for each bit send/receive iteration: After the pointer-chasing operation finishes, the thread waits until the time interval is finished, then starts the next iteration.",Yes,"Avoiding noises due to cache prefetchers: There are multiple prefetchers for on-CPU caches and on-NVRAM caches in their system. These prefetchers cause latency fluctuations in the Prime+Probe accesses, adding noises to the channel. To defeat these prefetchers, they use our pointer chasing access pattern, which accesses all memory blocks, but in a random order so that prefetchers cannot detect a predictable pattern. 
",Yes,Yes,Yes,Speed;Error rate,0.0,0,,,2,Yes,"Transmission: The sender program updates its file’s metadata at maximum frequency if sending bit 0; otherwise, it remains idle for a predetermined period to communicate bit 1. The receiver constantly updates its file at a low frequency to not trigger data migrations on its own but to detect that of the sender. The receiver also times these inode update functions and identifies the data migration as a long latency. The receiver picks up a bit 0 if it detects data migrations.",No,,Yes,Yes,No,,,,,,,,,,,,,Other_Database Operation Leakage,sqlite3 (3.31.1 version precised in the github not in the paper),"First, they tried to leak the SQL statements. They use the k-nearest neighbors algorithm (k-NN) with  Pearson correlation coefficients to analyze and categorize each access patterns quantitatively. To evaluate this categorization algorithm, they run each SQL operation 100 times, then for each operation, randomly choose 70 samples as the k-NN training set and use the rest 30 samples as the test set. In this evaluation, 240 SQL operations are tested and 202 of them are correctly categorized, resulting in an accuracy of 84%.
=> 24000 operation runs.

Then, they tried to leak the SQL range query. The queries have different memory access patterns in terms of access addresses and timings. They run each ranged query 100 times and use 70% of the results as training samples for the k-NN algorithm. In this evaluation, 120 queries are tested and 86 of them are correctly categorized, resulting in a 72% accuracy.
=> 120000 query runs.",144000 runs,1,0,,Yes,Yes,Yes,Other_Leak PMDK KV store accesses,libmemobj-cpp (no version specified),"The patterns can be categorized using the k-NN categorization from previous attacks. They evaluated 8 different key-value updates, where each operation is executed 100 times and 70% of the results are used as the k-NN training set. In this evaluation, 182 out of 240 samples are correctly categorized, resulting in a 76% accuracy. ",240000 runs,1,0,,Yes,Yes,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,WolfSSL v4.2.0,"In their example, the victim has called this function 275 times, and the attacker detected 225 calls. They repeat this attack 100 times with different secret keys and find that the attacker detects approximately 77% of the calls. 

On average they recovered 28.55% bits from 1000 randomly generated 2048-bit RSA keys.",275000 function calls.,1,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
xiongLeakingInformationCache2020,Leaking Information Through Cache LRU States,2020,HPCA,No evaluation for this conference this year,Same core;Shared memory,Same core;Shared memory,,,,Attacker and receiver must share an L1 cache with LRU or pseudo‑LRU replacement,Local;Remote;VM,New primitive,Spatial resolution;Temporal resolution,3,Covert channel,Speed;Error rate;Multiple plateforms;Noise resilience;Capacity (bandwith considering the error rate);Stealth,0.0,0,,,10,Yes,"Agreement:
- Ts define bit duration and Tr define sampling rate.
- Sender and receiver are synchronized by repeating a known bit sequence (e.g., 128-bit string).

Transmission:
The sender transmits bits by accessing specific cache sets (1) or not (0), at a fixed transmission period Ts.",Yes,"They:
- use a pointer chasing algorithm and a dedicated data structure to measure one memory access.
- apply a filtering technique (exclude consecutive 1s or 0s).
- adjust timing parameters.",No,No,Yes,Speed;Multiple plateforms;Noise resilience;Capacity (bandwith considering the error rate),,0,,,10,Unclear,"Agreement:
- Sender and receiver agree on a bit duration (Ts), estimated to be 85 or 97 measurement cycles depending on the algorithm.
- Synchronization is recovered by the receiver using best-fit period detection by aligning signal with expected wave patterns over a repeated known sequence (such as alternating 0s and 1s).
- They do not use explicit time synchronization or handshakes, only fixed timing intervals and message repetition.

Transmission:
- Bit 0 / Bit 1 is encoded by whether or not the sender accesses specific cache sets.
- The receiver measures cache access latency, averaged over multiple Tr intervals, to infer which bit was sent.",Yes,"They did trace filtering or smoothing (e.g., moving averages) in signal interpretation.",No,No,Yes,Multiple plateforms;Transient execution;Cache Miss Rate (%),,1,"""Better than Flush+Reload in speculative window efficiency""",,8,Yes,"Transmission:
1.The secret value is mapped to a specific cache set.
2. This cache set is accessed during speculation by the victim.
3. The attacker reads LRU state changes to infer the value.",No,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koglerCollide+PowerLeakingInaccessible2023,Collide+Power: Leaking Inaccessible Data with Software-based Power Side Channels,2023,USENIX Security Symposium,Yes,Same CPU;Same core;Same thread,Same CPU;Same core;Same thread,,,,"For MDS-Power attack : attacker and victim are  co-located on sibling threads of a physical core. Meltdown-Power also requires the presence of a prefetch  gadget in the kernel, which Meltdown also requires for non-L1  cache data leakage.",Local,New primitive,Spatial resolution;Temporal resolution,10,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Other_Leak data in use with MDS-Power case,Intel Core i9-9900K CPU  with Ubuntu 20.04.5 LTS and Linux kernel 5.4,"To compare  the leakage of the different approaches, they report the leakage  rate in bits per hour with the CPA success probability of  recovering the victim nibble without errors. They disabled the  hardware prefetchers during this experiment.",2837553 samples,8,0,,Yes,Yes,Yes,Other_Leak data at rest with Meltdown-Power,"Ubuntu 20.04 LTS on  an Intel Core i7-8700K (CPU A), an Intel Core i9-9980HK  (CPU B), and an Intel Core i7-6700K (CPU C). CPU A and  C run Linux kernel version 5.4, and CPU B version 5.13.",Meltdown-Power has a significantly lower performance than  MDS-Power due to the amount of code executed for the  prefetch gadget and the reliability of its speculation. This attack is unpratical in real life.,109870 samples,7,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhaoLastLevelCache2024,Last-Level Cache Side-Channel Attacks Are Feasible in the Modern Public Cloud,2024,ASPLOS,"Evaluation was available, but the paper didn't do/get it",Same CPU,,,,,,Local;VM,Improved a building block,Spatial resolution;Temporal resolution,3,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Error rate,8.9,1,Authors re-evaluated the attack to compare on the same conditions,,7,Unclear,"This covert channel compares the parallel probing method with two variants of Prime+Scope. Sender and receiver reside in different Google Cloud Run instances on the same CPU. 

One thread repeatedly accesses a previously agreed upon Snoop Filter set on previously agreed timeslots. Another thread probes the set to detect if it was accessed. The latencies necessary to both prime and probe the set are recorded, as well as the detection rate of the techniques. No real message is actually transmitted.

In total 4070 measurements are used.",No,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,Toy example / Microbenchmark,,"This micro-benchmark evaluates the effectiveness of address pruning algorithms for eviction set creation in noisy environments.

The authors compare the Group Testing algorithm and the Prime+Scope algorithm, optimized variants of both, and a Group Testing variant that further includes two novel optimizations. These optimizations are based on a filtering phase using L2 eviction set creation, then a binary search algorithm limiting the time needed for address pruning.

These algorithm are tested in two setups, a local cross-core one and a noisy, cross-tenant one running on Google Cloud Run, both setups use a different Skylake-SP processor model. Experiments are repeated in 3 different scenarios: building a single eviction set, eviction sets for a whole page, or for the whole system.
 
The success rate and time taken to build eviction sets is recorded. The experiments in the local setup were additionally repeated on an Ice Lake-SP CPU. ","98952 per algorithm in the Cloud Run setup, 1120 per algorithm in local setup",3,2,Authors re-evaluated the attack to compare on the same conditions,Yes,Yes,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,OpenSSL 1.0.1e,"A Montgomery ladder implementation with secret-dependent control-flow is used to extract the nonce used in ECDSA (curve sect571r1). The attacker and victim run in different Cloud Run instances running on the same CPU. 

The attacker is assumed to know the VA of the target branch. Eviction sets for this page offset are created, then scanned to identify the target set. Using parallel probing, the secre-dependent branch is monitored.",470 traces collected in total,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evtyushkinBranchScope2018,BranchScope: A New Side-Channel Attack on Directional Branch Predictor,2018,ASPLOS,No evaluation for this conference this year,Same core,,,,,,Local;SGX,New primitive,Spatial resolution,3,Covert channel,Error rate;Noise resilience,0.46,0,,,10,Yes,"In one setup, sender and receiver are different processes running on different hyperthread of the same core. In a second setup, the sender resides in an SGX enclave.

To transmit a 1, the sender takes the branch, and does not take the branch to transmit a 0.

The receiver executes their corresponding branch two times, recording whether it was predicted correctly or not: if a sequence of two mispredicted branches, or one correctly predicted and one mispredicted one are observed, then a 1 was transmitted. Performance counters are used to determine whether a branch was mispredicted or not. 
 ",No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saileshwarStreamlineFastFlushless2021,"Streamline: A Fast, Flushless Cache Covert-Channel Attack by Enabling Asynchronous Collusion",2021,ASPLOS,Yes,Same core;Shared memory,,,,,,Local,Improved a building block,Spatial resolution;Temporal resolution,3,Covert channel,Speed;Error rate;Noise resilience;Sensitivity to Shared Array Size,0.37,6,Compare to the numbers in previous papers;Authors re-evaluated the attack to compare on the same conditions,Compare to previous paper on different conditions,10,Yes,"Sender and receiver run on different cores and share a large array in memory for which they are assumed to have agreed on a traversal order. Both have also previously agreed on a seed for a PRNG.

When sending a bit, the sender XORs it with a bit obtained with the PRNG. If the resulting bit is 1, the sender accesses the current line and does not otherwise. The sender immediately moves to the next in the traversal order.

 Upon reaching this line, the receiver times its latency, and decodes its value, as they know the seed value of the PRNG. This mechanism ensures that a transmission contains on roughly the same number of 0 and 1.

Sender and receiver perform a coarse-grained synchronization every 200k cycles.

",Yes,"Payloads are broken in to 8-byte packets, each appended with a (72,64) Hamming Code, correcting 1-bit errors and detecting 2-bit errors. This decreases the error rate to 0.12% with a bit rate of 1598 KB/s.",Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chenAfterImageLeakingControl2023,AfterImage: Leaking Control Flow Data and Tracking Load Operations via the Hardware Prefetcher,2023,ASPLOS,Yes,Same core,,,,,,Local;SGX,New primitive,Spatial resolution,2,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate,6.0,0,,,2,Unclear,"The sender can train the prefetcher on a previously agreed upon IP, encoding in the predicted stride the secret to be transmitted. By using either the Cache or PSC variant of AfterImage, the receiver can retrieve the encoded stride (authors seem to use the cache variant, through Flush+Reload). A 5-bit secret can thus be encoded.

No details is given as to how synchronization is done.",No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Toy example / Microbenchmark,,"Authors employ the cache version of AfterImage on hand-crafted examples, demonstrating two scenarios: 

1) cross-thread/cross-process control flow leakage: demonstrated using Flush+Reload and Prime+Probe, with the target load's IP presumed to be known
2) cross user/kernel boundary control flow leakage: demonstrated using Flush+Reload, with the target load's IP retrieved through a brute-force like search technique

A similar toy example experiment is repeated on SGX.",200 samples used to evaluate the success rate,2,0,,Yes,Yes,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,,"Authors use the PSC variant of AfterImage to leak the secret exponent of an RSA decryption. The implementation used is a balanced Montgomery Ladder, written by the authors.

The prefetcher is mistrained by the attacker with a certain stride, then the victim executes. The attacker then re-executes the masking load and check whether the prefetcher was triggered. If it was, then the victim didn't execute its own load, ie it followed the else path.",5 iterations to leak one bit,2,0,,Yes,Yes,Yes,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,,"Authors shows how AfterImage can be used to augment other attacks by tracking the timing of a load. In particular, this can be used to track when an RSA key is loaded for decryption or when the AES S-box is loaded.",,2,0,,No,,No,,,,,,,,,,,,,,,,,,,
